Korean (ko),Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
은폐,1,1,0,1,0,0,0,0
우려하는,0,0,0,1,0,1,0,0
화해,0,0,0,0,1,0,0,1
진동,1,0,0,0,0,1,0,0
비난하다,1,0,0,0,0,0,0,0
겸손,1,0,1,0,0,1,0,0
조위,0,0,0,0,0,1,0,0
동류,0,0,0,0,0,0,0,1
불다,0,0,0,0,0,0,0,1
고백,0,1,0,1,0,1,1,0
고해성의,0,0,0,1,0,0,0,1
신의를표하다,0,0,0,0,0,0,0,1
자신,0,0,0,1,1,0,0,1
자신감,0,0,0,0,1,0,0,1
기밀,0,0,0,0,0,0,0,1
갇힌,1,0,1,1,0,1,0,0
제한,1,0,0,1,0,1,0,0
확인,0,0,0,0,0,0,0,1
압수하다,1,0,0,0,0,1,0,0
큰화재,1,0,0,1,0,0,0,0
대치하다,1,0,0,0,0,0,0,0
혼동,1,0,0,1,0,0,0,0
역암,0,0,0,0,0,0,0,1
축하의,0,0,0,0,1,0,0,0
회중,0,0,0,0,0,0,0,1
대회,0,0,1,0,0,0,0,1
국회의원,0,0,0,0,0,0,0,1
어림짐작,0,1,0,0,0,0,0,0
창작하다,0,1,0,0,0,0,1,0
연결어,0,0,0,0,0,0,0,1
감정가,0,0,0,0,1,0,0,1
정복,1,0,0,1,0,0,0,0
양심,0,0,0,0,0,0,0,1
양심적인,0,0,0,0,0,0,0,1
헌신,0,1,0,0,1,1,0,1
당연한결과,0,1,0,0,0,0,0,0
보존,0,1,0,0,0,0,0,1
사려깊은,0,0,0,0,0,0,0,1
일관성,0,0,0,0,0,0,0,1
콘솔,0,0,0,0,0,1,0,0
배우자,0,0,0,0,0,0,0,1
공모자,1,1,1,1,0,0,0,0
공모하다,0,0,0,1,0,0,0,0
순경,0,0,0,0,0,0,0,1
불변,0,0,0,0,0,0,0,1
일정한,0,0,0,0,0,0,0,1
끊임없이,0,0,0,0,0,0,0,1
깜짝놀람,1,0,0,1,0,0,0,0
변비,0,0,1,0,0,0,0,0
구성하다,0,0,0,0,0,0,0,1
헌법상의,0,0,0,0,0,0,0,1
영사,0,0,0,0,0,0,0,1
찾다,0,0,0,0,0,0,0,1
전염병,0,1,1,1,0,0,0,0
전염성이있는,0,0,1,1,0,0,0,0
오염시키다,0,0,1,0,0,0,0,0
더럽히는,0,0,1,1,0,1,0,0
오염,0,0,1,0,0,0,0,0
경멸,1,0,1,1,0,0,0,0
경멸적인,1,0,1,0,0,0,0,0
함유량,0,0,0,0,1,0,0,1
논쟁의,1,0,1,1,0,0,0,0
분견대,0,1,0,0,0,0,0,0
흑인노예,1,0,1,1,0,0,0,0
모순된,1,0,0,0,0,0,0,0
기부자,0,0,0,0,0,0,0,1
논쟁의여지가있는,1,0,0,0,0,0,0,0
수도원,0,0,0,0,0,0,0,1
수렴,0,1,0,0,0,0,0,0
운반,0,0,0,0,0,0,0,1
죄수,1,0,1,1,0,1,0,0
납득시키다,0,1,0,0,0,0,0,1
설득력있는,0,0,0,0,0,0,0,1
비좁고갑갑한곳,1,0,1,0,0,0,0,0
협력하는,0,0,0,0,0,0,0,1
협력적인,0,0,0,0,0,0,0,1
모방자,1,0,1,0,0,0,0,0
대관식,0,0,0,0,1,0,0,1
법인,0,0,0,0,0,0,0,1
단정,0,0,0,0,0,0,0,1
확증하다,0,0,0,0,0,0,0,1
보강증거,0,0,0,0,0,0,0,1
신랄한,0,0,0,1,0,0,0,0
부패하는,1,0,1,1,0,1,0,0
부패,0,0,1,0,0,0,0,0
세계적인,0,0,0,0,0,0,0,1
침상,0,0,0,0,0,1,0,0
기침,0,0,1,0,0,0,0,0
이사회,0,1,0,0,0,0,0,1
참사관,1,0,0,1,0,0,0,1
카운트,0,0,0,0,0,0,0,1
카운트다운,0,1,0,0,0,0,0,0
촌사람,0,0,0,0,0,0,0,1
군,0,0,0,0,0,0,0,1
일격,1,0,0,0,0,0,1,0
용기있는,0,0,0,1,0,0,0,0
급사,0,0,0,0,0,0,0,1
법정,1,1,0,1,0,0,0,0
덮개,0,0,0,0,0,0,0,1
겁쟁이,0,0,1,1,0,1,0,0
비겁,0,0,0,1,0,0,0,0
비겁한,0,0,0,1,0,0,0,0
코이,0,0,0,1,0,0,0,0
코요테,0,0,0,1,0,0,0,0
게같은,1,0,0,0,0,0,0,0
깨진,1,0,0,1,0,0,0,0
요람,0,1,0,0,1,0,0,1
쥐,0,1,0,0,0,0,0,0
까다로운,1,0,0,0,0,0,0,0
쓰레기,0,0,1,0,0,0,0,0
크랩,0,1,0,0,0,0,0,0
추락,0,0,0,1,0,1,1,0
갈망하다,0,1,0,0,0,0,0,0
갈망,0,1,0,0,0,0,0,0
포복,0,0,1,0,0,0,0,0
미친,1,0,0,1,0,0,0,0
크림,0,1,0,0,1,0,1,0
몹시떠들어대다,0,0,0,0,1,0,0,0
생물,0,0,1,1,0,0,0,0
신용,0,0,0,0,0,0,0,1
신임장,0,0,0,0,0,0,0,1
믿을수있음,0,0,0,0,0,0,0,1
신뢰할수있는,0,0,0,0,0,0,0,1
화장,0,0,0,0,0,1,0,0
진전,0,1,0,0,1,0,1,1
크루,0,0,0,0,0,0,0,1
범죄,1,0,0,0,0,0,0,0
범죄자,1,0,1,1,0,0,0,0
움츠러들게하다,0,0,1,1,0,1,0,0
불구자,0,0,0,1,0,1,0,0
불구가된,0,0,0,0,0,1,0,0
비판,1,0,0,0,0,1,0,0
흠잡다,1,0,1,1,0,1,0,0
십자가,1,0,0,1,0,1,0,0
웅크림,0,0,0,1,0,0,0,0
웅크리는,0,0,0,1,0,0,0,0
더할나위없는,0,1,0,0,1,0,1,1
결정적인,0,0,0,0,0,0,0,1
큰시련,1,0,1,1,0,1,0,0
조잡한,0,0,1,0,0,0,0,0
잔인하게,1,0,0,1,0,0,0,0
잔학,1,0,1,1,0,1,0,0
부서지기쉬운,0,0,0,0,0,1,0,0
결정적시기,1,0,0,0,0,0,0,0
개혁운동,1,0,0,1,0,0,0,0
밀어넣는,1,0,1,1,0,1,0,0
눌러터뜨리는,1,0,1,1,0,0,0,0
피각질의,0,0,1,0,0,0,0,0
울음소리,0,0,0,0,0,1,0,0
외치는,0,0,0,0,0,1,0,0
토굴,0,0,0,1,0,1,0,0
입방체,0,0,0,0,0,0,0,1
오만한,0,0,1,0,0,0,0,0
포옹,0,0,0,0,1,0,0,1
큐,0,1,0,0,0,0,0,0
요리의,0,0,0,0,0,0,0,1
숭배,0,0,0,1,0,0,0,0
기르다,0,1,0,0,0,0,0,1
똥개,1,0,1,1,0,0,0,0
치료할수있는,0,0,0,0,0,0,0,1
호기심,0,1,0,0,0,0,1,0
후견인,0,0,0,0,0,0,0,1
보관,0,0,0,0,0,0,0,1
커터,0,0,0,1,0,0,0,0
치열한,1,0,0,1,0,0,0,0
나트륨,0,0,0,1,0,0,0,0
집진장치,0,0,0,1,0,0,1,0
낭종,0,0,0,1,0,1,0,0
낭성의,0,0,1,0,0,0,0,0
거대세포바이러스,0,0,0,0,0,1,0,0
애도하는,1,0,1,0,0,0,0,0
악마,1,0,1,1,0,1,1,0
어리석은,0,0,1,0,0,0,0,0
단검,0,0,0,1,0,0,0,0
매일,0,1,0,0,0,0,0,0
손해,1,0,1,0,0,1,0,0
여자,1,0,1,0,0,0,0,1
조금도,1,0,1,0,0,0,0,0
댄스,0,0,0,0,1,0,0,1
멋쟁이,0,0,1,0,0,0,0,0
위험,0,0,0,1,0,1,0,0
위험한,0,0,0,1,0,0,0,0
어두운,0,0,0,0,0,1,0,0
어둡게하다,0,0,0,1,0,1,0,0
어두워진,0,0,0,1,0,1,0,0
어둠,1,0,0,1,0,1,0,0
가장사랑하는,0,0,0,0,1,0,0,1
다트,0,0,0,1,0,0,0,0
대시의,1,0,0,1,0,1,0,0
딸,0,0,0,0,1,0,0,0
새벽,0,1,0,0,1,0,1,1
부제,0,0,0,0,0,0,0,1
치명적인,1,0,1,1,0,1,0,0
거래,0,1,0,0,1,0,1,1
죽음,1,1,1,1,0,1,1,0
와해,0,0,0,1,0,1,0,0
방탕,0,0,1,1,0,0,0,0
회사채,0,1,0,0,0,0,0,0
부스러기,0,0,1,0,0,0,0,0
빚,0,0,0,0,0,1,0,0
부패한,0,0,1,0,0,1,0,0
고인,0,0,0,0,0,1,0,0
책략,1,0,1,1,0,1,1,0
속이는,0,0,1,0,0,1,0,0
속은,1,0,0,0,0,0,0,0
분해하다,0,0,1,0,0,0,0,0
분해된,0,0,0,0,0,1,0,0
분해,0,0,1,1,0,1,0,0
유인못,0,0,0,0,0,0,1,0
증서,0,0,0,0,0,0,0,1
중상,0,0,1,1,0,0,0,0
명예훼손적인,1,0,0,0,0,0,0,0
태만,0,0,1,1,0,1,0,0
패배한,0,0,0,0,0,1,0,0
결함,1,0,0,0,0,0,0,0
결함있는,0,0,1,0,0,0,0,0
지키다,0,0,0,1,0,0,0,0
피고,1,0,0,1,0,1,0,0
변호받은,0,0,0,0,0,0,0,1
방어자,0,0,0,0,0,0,0,1
방비없는,0,0,0,1,0,1,0,0
복종,0,0,0,0,0,0,0,1
도전적인,1,0,0,0,0,0,0,0
꺾다,1,0,0,0,0,1,0,0
수축,0,0,0,1,0,0,0,0
추하게하다,0,0,1,0,0,0,0,0
변형된,0,0,1,0,0,1,0,0
기형,0,0,1,1,0,1,0,0
없어져버린,0,0,0,0,0,1,0,0
무시하다,1,0,0,1,0,1,1,0
퇴화,1,0,1,0,0,1,0,0
저하시키다,0,0,1,0,0,0,0,0
퇴화하는,0,0,1,1,0,1,0,0
지연,1,0,1,1,0,1,0,0
대리자,0,0,0,0,0,0,0,1
해로운,1,0,1,1,0,0,0,0
맛있는,0,0,0,0,1,0,0,0
기쁨,0,1,0,0,1,0,0,0
기쁜,0,1,0,0,1,0,1,0
매우기쁜,0,1,0,0,1,0,0,1
연체의,1,0,1,0,0,0,0,0
헛소리하는,0,0,0,0,0,1,0,0
섬망상태,0,0,1,0,0,1,0,0
구출,0,1,0,0,1,0,0,1
배달,0,1,0,0,0,0,0,0
대홍수,0,0,0,1,0,1,1,0
미혹,1,0,0,1,0,1,0,0
망상적인,1,0,0,1,0,0,0,0
수요,1,0,0,0,0,0,0,0
백치,0,0,0,1,0,1,0,0
권리양도,0,0,0,1,0,1,0,0
헐다,1,0,0,0,0,1,0,0
악마같은,1,0,1,1,0,1,0,0
분명히나타내는,0,0,0,0,1,1,0,0
사기를꺾은,0,0,0,1,0,1,0,0
치과,0,0,0,1,0,0,0,0
부정하다,1,0,0,0,0,0,0,0
출발하다,0,1,0,0,0,1,0,0
죽은,0,0,0,0,0,1,0,0
출발,0,0,0,0,0,1,0,0
의존하다,0,1,0,0,0,0,0,1
의존,0,0,0,1,0,1,0,0
탄탄한,1,0,1,1,0,1,0,0
비탄하다,1,0,1,0,0,1,0,0
추방하다,0,0,0,1,0,1,0,0
공탁소,0,0,0,0,0,0,0,1
타락,1,0,1,0,0,0,0,0
감가상각된,1,0,1,1,0,1,0,0
감가상각,0,0,0,1,0,0,0,0
내리누르다,0,0,0,1,0,1,0,0
우울한,1,0,0,1,0,1,0,0
우울증,0,0,0,0,0,1,0,0
박탈,1,0,1,1,0,1,0,0
깊이,0,0,0,0,0,0,0,1
대리인,0,0,0,0,0,0,0,1
엉망이된,1,0,1,1,0,0,0,0
비웃음,1,0,1,0,0,0,0,0
피부과전문의,0,0,0,0,0,0,0,1
감손,1,0,1,1,0,1,0,0
하강,0,0,0,1,0,1,0,0
사막,1,0,1,1,0,1,0,0
받을만하다,1,1,0,0,0,0,0,1
지정,0,0,0,0,0,0,0,1
~을벗어나는,1,0,1,0,0,0,0,0
쓸쓸함,0,0,0,1,0,1,0,0
절망,1,0,1,1,0,1,0,0
절망적인,0,0,0,1,0,1,0,0
전제국,1,0,1,1,0,1,0,0
목적지,0,1,0,1,1,1,1,0
향하는,0,1,0,0,0,0,0,0
난민,0,0,0,1,0,1,0,0
의해파괴됨,1,0,0,1,0,1,0,0
파괴자,1,0,0,1,0,0,0,0
파괴하는,1,0,0,1,0,1,0,0
파괴적인,1,0,1,1,0,0,0,0
억류자,1,1,0,1,0,1,0,0
구류,0,0,0,0,0,1,0,0
악화되다,0,0,0,1,0,1,0,0
결심,0,0,0,0,0,0,0,1
폭파하다,0,0,0,1,0,0,1,0
폭발,1,0,0,0,0,0,0,0
떨어지다,1,0,0,0,0,0,0,0
파괴하다,1,0,0,1,0,1,0,0
지독한,1,0,1,1,0,1,0,1
폐허,1,0,0,1,0,1,1,0
나타나게하다,0,1,0,0,0,0,0,0
일탈,0,0,0,0,0,1,0,0
경건의,0,0,0,0,0,0,0,1
독실한,0,1,0,0,1,0,0,1
진단,0,1,0,1,0,0,0,1
다이아몬드,0,0,0,0,1,0,0,0
기저귀,0,0,1,0,0,0,0,0
설사,0,0,1,0,0,0,0,0
일기,0,0,0,0,1,0,0,1
독재자,0,0,0,1,0,0,0,0
절대권,1,1,1,1,0,1,0,0
사전,0,0,0,0,0,0,0,1
식이요법,0,1,0,0,0,0,0,0
미분,0,0,0,0,0,0,0,1
다르게,0,0,0,0,0,0,1,0
어려움,0,0,0,0,0,1,0,0
손가락,0,0,0,0,0,0,0,1
존엄,0,0,0,0,0,0,0,1
제방,0,0,0,1,0,0,0,0
낡은,0,0,1,0,0,1,0,0
근민,0,0,0,0,0,0,0,1
줄다,0,0,0,0,0,1,0,0
공룡,0,0,0,1,0,0,0,0
외교,0,1,0,0,0,0,0,1
외교의,0,0,0,0,0,0,0,1
감독,0,0,0,0,0,0,0,1
더러운,0,0,1,0,0,0,0,0
무능,0,0,0,0,0,1,0,0
무능하게하다,0,0,0,1,0,1,0,0
장애인,0,0,0,1,0,1,0,0
동의하지않는다,1,0,0,0,0,0,0,0
의견이맞지않는,1,0,0,0,0,1,0,0
불쾌한일,1,0,0,0,0,1,0,0
허용되지않는,1,0,1,1,0,1,0,0
사라지다,0,0,0,1,0,0,0,0
어긋나게하다,1,0,1,0,0,1,0,0
실망한,1,0,1,0,0,1,0,0
실망시키는,0,0,0,0,0,1,0,0
실망,0,0,1,0,0,1,0,0
난색,0,0,0,0,0,1,0,0
안된다고하다,1,0,1,1,0,1,0,0
비승인된,1,0,0,0,0,1,0,0
재앙,1,0,1,1,0,1,1,0
비참한,1,0,0,1,0,1,0,0
제자,0,0,0,0,0,0,0,1
징계,0,0,0,1,0,0,0,0
공개된,0,0,0,0,0,0,0,1
변색,0,0,1,0,0,0,0,0
변색된,0,0,1,0,0,1,0,0
불쾌,0,0,0,0,0,1,0,0
연결해제,0,0,0,0,0,1,0,0
연결이끊긴,0,0,0,0,0,1,0,0
불만,1,0,1,1,0,1,0,0
불연속,0,0,1,1,0,1,0,0
불일치,1,0,1,0,0,0,0,0
낙심시키다,0,0,0,1,0,1,0,0
신중,0,1,0,0,0,0,0,1
차별하다,1,0,0,0,0,1,0,0
차별하는,0,0,1,0,0,0,0,0
차별,1,0,1,1,0,1,0,0
경멸감,1,0,1,0,0,0,0,0
질병,1,0,1,1,0,1,0,0
체념이없는,0,0,0,1,0,1,0,0
모양이변형된,1,0,1,1,0,1,0,0
불명예,1,0,1,0,0,1,0,0
불명예스러운,1,0,1,0,0,0,0,0
싫음,1,0,1,1,0,1,0,0
역겨운,1,0,1,1,0,0,0,0
낙심한,0,0,0,0,0,1,0,0
부정직,0,0,1,0,0,0,0,0
환멸,1,0,1,0,0,1,0,0
그릇된정보,1,0,0,1,0,0,0,0
싫어함,1,0,1,0,0,0,0,0
싫어하는,1,0,0,0,0,1,0,0
탈구된,1,0,1,1,0,1,0,0
음침한,0,0,1,1,0,1,0,0
해임,1,0,1,1,0,1,1,0
불순종,1,0,1,0,0,0,0,0
불순종한,1,0,0,0,0,0,0,0
좇지않다,1,0,1,0,0,0,0,0
무질서,0,0,0,1,0,0,0,0
비하하는,1,0,1,0,0,1,0,0
상이,1,0,1,0,0,1,0,0
냉정한,0,0,0,0,0,1,0,0
불식시키다,0,0,0,0,0,1,0,0
실향민,1,0,0,1,0,1,0,0
처분하다,0,0,1,0,0,0,0,0
처분된,0,1,0,0,0,0,0,1
떼어놓은,1,0,0,1,0,1,0,0
분쟁,1,0,0,0,0,0,0,0
실격된,1,0,1,0,0,1,0,0
자격을박탈하다,0,0,0,0,0,1,0,0
보기싫은,1,0,1,1,0,0,0,0
무례,1,0,0,0,0,0,0,0
무례한,1,0,1,1,0,1,0,0
붕괴,1,0,0,1,0,0,1,0
불화,1,0,0,0,0,0,0,0
해,1,0,1,0,0,1,0,0
반체제의,1,0,0,1,0,0,0,0
해산,1,0,0,1,0,1,1,0
싫증,0,0,1,0,0,0,0,0
맛없는,0,0,1,0,0,0,0,0
비뚤어진,0,0,1,0,0,0,0,0
산만,1,0,0,0,0,0,0,0
산만하게하는,1,1,0,0,0,0,0,0
고민하는,0,0,0,1,0,0,0,0
방해,1,0,0,1,0,1,1,0
방해받은,1,0,0,0,0,1,0,0
사용하지않는,1,0,0,0,0,0,0,0
소곡,0,0,0,0,1,0,0,0
전환,0,0,0,0,0,0,1,0
점,0,1,0,0,0,0,0,0
이혼,1,0,1,1,0,1,1,1
의사,0,0,0,0,0,0,0,1
교의,0,0,0,0,0,0,0,1
교조,0,0,0,0,0,0,0,1
답답한,0,0,0,0,0,1,0,0
시주,0,0,0,0,0,1,0,0
인형,0,0,0,0,1,0,0,0
돌고래,0,0,0,0,1,0,1,1
우성,0,0,0,1,0,0,0,0
지배,1,0,0,1,0,1,0,0
님,0,0,0,0,0,0,0,1
당나귀,0,0,1,0,0,0,0,0
운명의,0,0,0,1,0,1,0,0
최후의심판의날,1,1,1,1,0,1,0,0
의심,0,0,0,1,0,1,0,1
의심없는,0,0,0,0,0,0,0,1
비둘기,0,1,0,0,1,0,0,1
몰락,0,0,0,1,0,1,0,0
철저한,0,0,0,0,0,0,0,1
단조로운,0,0,0,0,0,1,0,0
초안,0,1,0,0,0,0,0,0
공포,0,1,0,1,0,0,0,0
끔찍하게,0,0,1,1,0,1,1,0
황량한,0,0,0,0,0,1,0,0
군침,0,0,1,0,0,0,0,0
안들리게하다,0,0,0,1,0,1,0,0
약을먹인,0,0,0,0,0,1,0,0
술취한,0,0,1,0,0,0,0,0
결투,1,1,0,1,0,0,0,0
둔한,0,0,0,0,0,1,0,0
우울,1,0,0,0,0,1,0,0
지하감옥,0,0,0,1,0,0,0,0
잘속는사람,1,0,0,0,0,0,0,0
내구성,0,0,0,0,0,0,0,1
튼튼한,0,0,0,0,0,0,0,1
협박,1,0,1,1,0,1,0,0
왜소합니까?,0,0,0,1,0,1,0,0
사망,1,0,1,1,0,1,0,0
동적,0,0,0,0,0,0,1,0
이질,0,0,1,0,0,1,0,0
심한,0,1,0,0,1,0,1,1
열의,0,1,0,0,1,0,0,1
독수리,0,0,0,0,0,0,0,1
지진,1,0,0,1,0,1,1,0
경제,0,0,0,0,0,0,0,1
엑스터시,0,1,0,0,1,0,0,0
황홀한,0,1,0,0,1,0,1,0
교화,0,1,0,0,1,0,0,1
교육적인,0,0,0,0,0,0,0,1
뱀장어,0,0,0,1,0,0,0,0
실력있는,0,1,0,0,0,0,0,1
악명높은,1,0,1,0,0,0,0,0
사정,0,1,0,0,1,0,1,1
의기양양한,0,0,0,0,1,0,0,0
팔꿈치,1,0,0,0,0,0,0,0
장로,0,0,0,0,0,0,0,1
연상,0,0,0,0,0,0,0,1
유권자,0,0,0,0,0,0,0,1
전기같은,0,0,0,0,1,0,1,0
우아,0,1,0,0,1,0,0,1
높이,0,1,0,1,1,0,0,1
꼬마요정,1,0,1,1,0,0,0,0
엘리트,0,1,0,0,1,0,0,1
명료하게하다,0,0,0,0,0,0,0,1
쇠약해진,0,0,0,1,0,1,0,0
난처하게하다,0,0,0,0,0,1,0,0
색전증,0,0,0,1,0,1,0,0
비상사태,0,0,0,1,0,1,1,0
저명,0,0,0,0,0,0,0,1
고용,0,0,0,0,0,0,0,1
가능하게하다,0,0,0,0,0,0,0,1
인에이블먼트,0,0,0,0,0,0,0,1
호리다,0,1,0,0,1,0,1,0
마법에걸린,0,0,0,0,1,0,0,1
북돋우다,0,0,0,0,1,0,0,1
잠식,0,0,0,1,0,0,0,0
방해물,1,0,0,1,0,1,0,0
백과사전,0,0,0,0,0,0,0,1
위태롭게,0,1,0,1,0,0,0,0
멸종위기에놓인,0,0,0,1,0,0,0,0
풍토병,0,0,1,1,0,1,0,0
끝이없는,1,0,0,1,1,1,0,1
심장내막염,0,0,0,1,0,1,0,0
부여하다,0,0,0,0,0,0,0,1
자질,0,0,0,0,0,0,0,1
관장,0,0,1,0,0,0,0,0
억지로시키다,1,0,0,1,0,0,0,0
수수께끼같은,0,0,0,1,0,0,0,0
즐겨,0,1,0,0,1,0,0,1
계발,0,0,0,0,1,0,0,1
활기있게만들다,0,0,0,0,1,0,1,1
증오,1,0,0,1,0,1,0,0
싸다,0,1,0,0,0,0,0,1
앙상블,0,0,0,0,0,0,0,1
예속된,1,0,1,1,0,1,0,0
빠뜨리는,1,0,1,1,0,1,0,0
즐겁게한,0,0,0,0,1,0,0,0
재미있는,0,1,0,0,1,0,0,0
환대,0,1,0,0,1,0,1,1
열성가,0,1,0,0,1,0,1,0
내장,0,0,1,0,0,0,0,0
맡기다,0,0,0,0,0,0,0,1
감독의,0,0,0,0,0,0,0,1
비문,0,0,0,0,0,1,0,0
평등,0,0,0,0,1,0,0,1
근절하다,1,0,0,0,0,0,0,0
근절,1,0,1,1,0,0,0,0
에로틱한,0,1,0,0,1,0,1,1
심부름,0,1,0,0,0,0,0,1
이상한사람,0,0,0,0,0,0,1,0
오류,0,0,0,0,0,1,0,0
차츰오르다,1,0,0,0,0,0,0,0
탈출,0,1,0,1,0,0,0,0
탈출한,0,0,0,1,0,0,0,0
피하다,1,0,0,0,0,1,0,0
호위,0,0,0,0,0,0,0,1
설립된,0,0,0,0,1,0,0,0
존중,0,0,0,0,1,1,0,1
미묘한,0,0,0,1,0,0,0,0
안락사,0,0,0,1,0,1,0,0
비우다,0,0,0,1,0,0,0,0
어쩌면일어날수도있는,0,1,0,0,0,0,0,0
궁극,0,1,0,1,0,0,0,0
상록수,0,0,0,0,1,0,0,1
축출하다,0,0,0,0,0,1,0,0
축출,1,0,1,1,0,1,0,0
분명한,0,0,0,0,0,0,0,1
악,1,0,1,1,0,1,0,0
격화,1,0,0,1,0,0,0,0
과장하다,1,0,0,0,0,0,0,0
항진,0,0,0,0,1,0,0,1
고귀한,0,0,0,0,1,0,0,1
격분,1,0,1,0,0,0,0,0
발굴,0,1,0,0,0,0,1,0
넘다,0,1,0,0,1,0,0,0
뛰어나다,0,1,0,0,1,0,1,1
우수,0,0,1,0,1,0,0,1
우수한,0,0,0,0,1,0,0,1
교환,0,0,0,0,0,0,0,1
자극,1,1,0,1,1,0,1,0
흥분,0,1,0,0,1,0,1,0
흥미진진한,0,1,0,0,1,0,1,0
제외된,0,0,1,0,0,1,0,0
...을제외한,0,0,0,0,0,1,0,0
제외,0,0,1,1,0,1,0,0
배설물,0,0,1,0,0,0,0,0
배설,0,0,1,0,0,0,0,0
고문받는,0,0,0,1,0,0,0,0
실행,1,0,0,1,0,1,0,1
실행자,1,0,0,1,0,1,0,0
집행자,0,0,0,0,0,0,0,1
지친,0,0,0,0,0,1,0,0
피로,0,1,0,0,0,1,0,0
망명,1,0,0,1,0,1,0,0
귀신쫓아내기,0,0,0,1,0,1,0,0
배고있다,0,1,0,0,0,0,1,1
기대,0,1,0,0,0,0,0,0
기다리는,0,1,0,0,0,0,0,0
예상한,0,1,0,0,0,0,0,0
기대하는,0,1,0,0,0,0,0,0
원정,0,1,0,0,0,0,0,0
내쫓다,1,0,1,1,0,1,0,0
경험있는,0,0,0,0,0,0,0,1
실험,0,1,0,0,0,0,1,0
전문가,0,0,0,0,0,0,0,1
전문적지식,0,0,0,0,0,0,0,1
조어,1,0,0,0,0,0,0,0
터지다,1,0,0,1,0,1,1,0
탐험하다,0,1,0,0,0,0,0,0
폭발물,1,1,0,1,0,0,1,0
제명,1,0,1,1,0,1,0,0
절묘한,0,0,0,0,1,0,0,0
절멸시키다,0,0,0,1,0,1,0,0
구제,1,0,0,1,0,0,0,0
꺼진,0,0,0,0,0,1,0,0
끄다,1,0,0,0,0,0,0,0
구해내다,0,1,0,0,0,0,0,0
충일,0,0,0,0,1,0,0,0
목격자,0,0,0,0,0,0,0,1
제작,0,0,0,0,0,0,0,1
것,0,0,0,0,0,0,0,1
사리,0,0,0,0,0,0,0,1
학부,0,0,0,0,0,0,0,1
찌끼,0,0,1,0,0,0,0,0
기절,0,0,0,1,0,1,1,0
꽤,0,0,0,0,0,0,0,1
신앙,0,1,0,0,1,0,0,1
충실한,0,0,0,0,0,0,0,1
그릇된,1,0,0,0,0,0,0,0
떨어지는,0,0,0,0,0,1,0,0
거짓말,1,0,0,0,0,0,0,1
위조,1,0,0,0,0,0,0,0
위조하다,0,0,1,0,0,0,0,0
허위,0,0,1,0,0,0,0,0
비틀거리다,0,0,0,1,0,0,0,0
정통,0,1,0,0,1,0,0,1
기근,0,0,0,0,0,1,0,0
과시,0,1,0,0,1,0,1,0
어색한,0,0,1,0,0,0,0,0
농장,0,1,0,0,0,0,0,0
금식,0,0,0,0,0,1,0,0
숙명,0,0,0,1,0,1,0,0
아버지,0,0,0,0,0,0,0,1
피곤한,0,0,0,0,0,1,0,0
지방이많은,0,0,1,0,0,1,0,0
결점,0,0,0,0,0,1,0,0
결점없는,0,0,0,0,0,0,0,1
특히잘하는,0,0,0,0,1,0,0,1
무서움,1,0,0,1,0,0,0,0
두려워,0,0,0,1,0,1,0,0
용감한,0,0,0,1,0,0,0,0
위업,0,1,0,0,1,0,1,0
대변,0,0,1,0,0,0,0,0
보수,1,0,0,0,0,0,0,0
지복,0,0,0,0,1,0,0,0
되다,0,0,0,0,0,1,0,0
사람,0,0,0,0,0,0,0,1
표저,0,0,0,1,0,0,0,0
울타리를달린,1,0,0,0,0,0,0,0
펜더,0,0,0,0,0,0,0,1
효소,0,1,0,0,0,0,0,0
발효,0,1,0,0,0,0,0,0
사나운,1,0,1,1,0,0,0,0
사나움,1,0,0,0,0,0,0,0
열렬,1,0,0,0,1,0,0,0
제전,0,1,0,0,1,0,1,0
축제의,0,0,0,0,1,0,0,0
봉건제도,1,0,0,0,0,1,0,0
열,0,0,0,1,0,0,0,0
악의없는거짓말,1,0,0,0,0,0,0,0
충실도,0,0,0,0,1,0,0,1
축제,0,1,0,0,1,0,1,1
싸움,1,0,0,1,0,0,0,0
가득따르다,0,0,0,0,0,0,0,1
오물,0,0,1,0,0,0,0,0
불결한,0,0,1,0,0,0,0,0
마침내,0,1,1,0,1,0,1,1
불,0,0,0,1,0,0,0,0
총기류,1,0,0,1,0,0,0,0
소방수,0,0,0,0,0,0,0,1
견고,0,0,0,0,0,0,0,1
맞다,1,0,0,0,0,0,0,0
입어보기,0,1,0,0,1,0,0,1
연약한,0,0,1,0,0,0,0,0
이가미끄러운,0,0,0,0,0,1,0,0
기함,0,0,0,0,0,0,0,1
플랜지,0,0,0,0,0,0,0,1
유망한,0,0,0,0,1,0,0,0
공허,0,0,1,0,0,0,0,0
벼룩,0,0,1,0,0,0,0,0
도망친,0,0,0,1,0,0,0,0
양털,1,0,1,0,0,1,0,0
육체,0,0,1,0,0,0,0,0
꽁무니빼다,0,1,1,1,0,1,1,0
바람둥이,0,1,0,0,1,0,1,1
홍수,0,0,0,1,0,0,0,0
가자미,0,0,0,1,0,1,0,0
독감,0,0,0,1,0,0,0,0
파동,1,0,0,1,0,0,0,0
흡충,0,0,0,0,0,0,1,0
나는,0,0,0,1,0,0,0,0
수행원,0,0,0,0,0,0,0,1
기호,0,0,0,0,1,0,0,0
식품,0,0,0,0,1,0,0,1
